"filename", "language", "Python", "comment", "blank", "total"
"/root/secs/bjtu-sse-Smart-Elderly-Care/api/__init__.py", "Python", 0, 0, 1, 1
"/root/secs/bjtu-sse-Smart-Elderly-Care/api/apis.py", "Python", 347, 29, 60, 436
"/root/secs/bjtu-sse-Smart-Elderly-Care/api/oldpsersonapis.py", "Python", 1, 0, 2, 3
"/root/secs/bjtu-sse-Smart-Elderly-Care/app.py", "Python", 14, 2, 4, 20
"/root/secs/bjtu-sse-Smart-Elderly-Care/app/__init__.py", "Python", 0, 0, 1, 1
"/root/secs/bjtu-sse-Smart-Elderly-Care/common/__init__.py", "Python", 0, 0, 1, 1
"/root/secs/bjtu-sse-Smart-Elderly-Care/common/config.py", "Python", 3, 0, 0, 3
"/root/secs/bjtu-sse-Smart-Elderly-Care/common/redisInit.py", "Python", 0, 7, 4, 11
"/root/secs/bjtu-sse-Smart-Elderly-Care/common/sqlInit.py", "Python", 18, 20, 5, 43
"/root/secs/bjtu-sse-Smart-Elderly-Care/common/util.py", "Python", 13, 24, 4, 41
"/root/secs/bjtu-sse-Smart-Elderly-Care/dal/__init__.py", "Python", 0, 0, 1, 1
"/root/secs/bjtu-sse-Smart-Elderly-Care/dal/employee_info.py", "Python", 101, 0, 13, 114
"/root/secs/bjtu-sse-Smart-Elderly-Care/dal/event_info.py", "Python", 56, 0, 2, 58
"/root/secs/bjtu-sse-Smart-Elderly-Care/dal/oldperson_info.py", "Python", 113, 0, 11, 124
"/root/secs/bjtu-sse-Smart-Elderly-Care/dal/sys_user.py", "Python", 88, 0, 7, 95
"/root/secs/bjtu-sse-Smart-Elderly-Care/dal/testDB.py", "Python", 5, 8, 1, 14
"/root/secs/bjtu-sse-Smart-Elderly-Care/dal/volunteer_info.py", "Python", 86, 0, 10, 96
"/root/secs/bjtu-sse-Smart-Elderly-Care/model/employee_info.py", "Python", 25, 5, 1, 31
"/root/secs/bjtu-sse-Smart-Elderly-Care/model/event_info.py", "Python", 14, 5, 1, 20
"/root/secs/bjtu-sse-Smart-Elderly-Care/model/guardian.py", "Python", 6, 0, 1, 7
"/root/secs/bjtu-sse-Smart-Elderly-Care/model/old_person_info.py", "Python", 35, 13, 2, 50
"/root/secs/bjtu-sse-Smart-Elderly-Care/model/sys_user.py", "Python", 24, 5, 1, 30
"/root/secs/bjtu-sse-Smart-Elderly-Care/model/volunteer_info.py", "Python", 27, 5, 1, 33
"/root/secs/bjtu-sse-Smart-Elderly-Care/test/testAPI.py", "Python", 19, 3, 4, 26
"/root/secs/bjtu-sse-Smart-Elderly-Care/test/testDB.py", "Python", 5, 8, 1, 14
"Total", "-", 1000, 134, 139, 1273
